,ENSMUSG00000016087,ENSMUSG00000032228,ENSMUSG00000066551,ENSMUSG00000022952,ENSMUSG00000055320,ENSMUSG00000024238,ENSMUSG00000024420,ENSMUSG00000030557,ENSMUSG00000031627,ENSMUSG00000033713,ENSMUSG00000052534,ENSMUSG00000008398,ENSMUSG00000021972,ENSMUSG00000022601,ENSMUSG00000038718,ENSMUSG00000055799,ENSMUSG00000062991,ENSMUSG00000002265,ENSMUSG00000005566,ENSMUSG00000005698,ENSMUSG00000006932,ENSMUSG00000008575,ENSMUSG00000009079,ENSMUSG00000020919,ENSMUSG00000021127,ENSMUSG00000022811,ENSMUSG00000024498,ENSMUSG00000024949,ENSMUSG00000024985,ENSMUSG00000025529,ENSMUSG00000026349,ENSMUSG00000026872,ENSMUSG00000027868,ENSMUSG00000029705,ENSMUSG00000030067,ENSMUSG00000030199,ENSMUSG00000031681,ENSMUSG00000037608,ENSMUSG00000038535,ENSMUSG00000038872,ENSMUSG00000039087,ENSMUSG00000042496,ENSMUSG00000045333,ENSMUSG00000048410,ENSMUSG00000048897,ENSMUSG00000049606,ENSMUSG00000049878,ENSMUSG00000053110,ENSMUSG00000053477,ENSMUSG00000056758,ENSMUSG00000063524,ENSMUSG00000078671,ENSMUSG00000001517,ENSMUSG00000002147,ENSMUSG00000002393,ENSMUSG00000002428,ENSMUSG00000003051,ENSMUSG00000003184,ENSMUSG00000003282,ENSMUSG00000003929,ENSMUSG00000049577,ENSMUSG00000014592,ENSMUSG00000001911,ENSMUSG00000043456,ENSMUSG00000000282,ENSMUSG00000037992,ENSMUSG00000037465,ENSMUSG00000048402,ENSMUSG00000055053,ENSMUSG00000056493,ENSMUSG00000000247,ENSMUSG00000000317,ENSMUSG00000023781,ENSMUSG00000025407,ENSMUSG00000027544,ENSMUSG00000037868,ENSMUSG00000040270,ENSMUSG00000005836,ENSMUSG00000008976,ENSMUSG00000015619,ENSMUSG00000018983,ENSMUSG00000025959,ENSMUSG00000026628,ENSMUSG00000027230,ENSMUSG00000027985,ENSMUSG00000028163,ENSMUSG00000029697,ENSMUSG00000031737,ENSMUSG00000036867,ENSMUSG00000038615,ENSMUSG00000044303,ENSMUSG00000050100,ENSMUSG00000051910,ENSMUSG00000057098,ENSMUSG00000059824,ENSMUSG00000074622,ENSMUSG00000075595,ENSMUSG00000076431,ENSMUSG00000017491,ENSMUSG00000021944,ENSMUSG00000022485,ENSMUSG00000022528,ENSMUSG00000025025,ENSMUSG00000025223,ENSMUSG00000028736,ENSMUSG00000029178
ENSMUSG00000052534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6690971192316,0,0,9.06335108563211,0,0,0,0,0,9.26895761522329,0,0,0,0,9.33537730406891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7808888065529,0,0,0,0,0,0,0,4.42472433523007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000008398,0,0,0,0,0,14.5782953548884,0,0,11.2658572218068,0,0,0,0,0,4.0628803653829,0,0,0,0,0,0,8.82116993000166,0,5.01749042548554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39930113398726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0320956925614,0,0,0.750491407850101,0,0,0,0,3.67896990838691,0,0,0,0,0,0,0,0.0213814734277267,0,0,4.13355152933276,0,0,0,0,0,0,0,0,0,0,0,0,7.07164473852985,0,0,0,0,0,2.19909423846341,0,0,1.8404939937948,0,0,0,0
ENSMUSG00000021972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038718,0,16.8134798188686,0,3.11857416374631,0,14.1979839828542,0,0,9.59041134689653,0,13.1595710135093,0.308133228830919,0,0,0,0,9.23202262949909,9.67443353081238,0,0,0,8.40241472274007,0,5.91478702941336,0,0,0,0,12.8327282542134,6.18969259909213,0,15.8246037173338,0,0,13.4304067953217,0,0,0,0,0,0,0,15.8198736754404,0,0,0,0,0,15.89004249873,12.1821770165593,0,0,0,0,0,0,0,0,0,0,9.53656617169441,0,0,9.77338739419614,0,0,0,0,6.46676175173465,0,3.71786105546022,0,0,0,0,12.9692779737862,14.2834854805094,8.01488738997372,0,0,0,0,0,2.02288524802111,9.22146246325322,0,0,0,10.6086909659252,0,0,0,16.7026624742102,0,0,5.99542521820384,0,0,0,2.72632276972321,0,3.6206110356896,0,0,0,0
ENSMUSG00000055799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000005566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000005698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000006932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000008575,0,0,0,0,0,0,0,0,7.92468421248317,0,4.89470936411219,0,0,0,10.571913606376,0,7.54191640871301,0,0,0,0,0,0,3.45389202515233,0,0,0,0,0,0,0,0,0,0,0.462419192683193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18924007581104,0,0,0,0,0,0,0,0,0,0,3.20574231503283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1298581649737,0,0,0,0,0,0,0
ENSMUSG00000009079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000020919,0,12.5912702330328,0,10.7487509771705,0,0,0,0,9.02651452219725,0,0,0,0,0,0,0,9.7250591828928,6.14739896823867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2107564901664,0,0,0,0,0,0,0,1.51836852560439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9214623024,0,0,0.68683482713348,0,0,0,0,2.59074068263552,0,0,0,0,0,0,0.146785423721486,5.98502703156797,6.68074377306968,0,0.777242473739532,0,0,0,2.86549255000802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26419501531103,5.25822343412001,0,0,0,0,0,0
ENSMUSG00000021127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0.734564524441519,16.0627612855712,0,7.25108136373821,0,11.1573942711381,0,0,8.92338792377988,0,8.76174896742004,6.43633578030799,0,0,8.35204318678799,0,12.8187045723883,10.2914032290308,0,0,0,14.6799562990397,0,5.21596069655788,0,0,0,0,0,3.26445331489774,0,5.39441294285073,0,0,14.4854430529128,0,0,0,0,0,0,0,12.7274750989065,0,0,0,0,0,13.89940338717,13.211299989635,0,0,0,0,0,0,0,0,0,0,4.53153214291415,0,0,8.92833986081739,0,0,0,0,7.77747771918007,0,11.320011191674,0,0,0,0,2.31185780776261,14.4017244021709,8.4215383886064,0,0.368501984078717,0,0,0,0,0.0425009903458068,0,0,0,12.7377582999167,0,0,0,10.3256221374577,6.42837200323128,0,5.93193431102273,0,0,8.77818323290606,4.81614616324637,0,7.21134353085705,0,0,0,0
ENSMUSG00000025529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030067,0,0,0,0,0,10.0284605610482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26771261960767,0,0,0,0,0,0,14.5441468279304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8965987181976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6708153464232,0,0,0,0,0,0,0,13.8359638572381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000030199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000031681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
