Gene stable ID,Gene Synonym,Gene name
ENSMUSG00000026051,Ecrg4,1500015O10Rik
ENSMUSG00000057816,Cfap299,1700007G11Rik
ENSMUSG00000021850,ccdc198,1700011H14Rik
ENSMUSG00000058925,Ccdc192,1700011I03Rik
ENSMUSG00000019945,Cabcoco1,1700040L02Rik
ENSMUSG00000070709,Zfp974,1700049G17Rik
ENSMUSG00000063458,Lrmda,1700112E06Rik
ENSMUSG00000041707,Tmem273,1810011H11Rik
ENSMUSG00000078784,Rbis,1810022K09Rik
ENSMUSG00000062760,Shisal1,1810041L15Rik
ENSMUSG00000020284,Cfap410,1810043G02Rik
ENSMUSG00000078572,Ndufaf8,1810043H04Rik
ENSMUSG00000021290,Atp5mpl,2010107E04Rik
ENSMUSG00000021458,Aopep,2010111I01Rik
ENSMUSG00000078546,Zfp995,2210404O09Rik
ENSMUSG00000026319,Relch,2310035C23Rik
ENSMUSG00000041203,Trir,2310036O22Rik
ENSMUSG00000049760,Micos13,2410015M20Rik
ENSMUSG00000039801,Cplane1,2410089E03Rik
ENSMUSG00000030924,Rexo5,2610020H08Rik
ENSMUSG00000021807,Rtraf,2700060E02Rik
ENSMUSG00000076437,Selenoh,2700094K13Rik
ENSMUSG00000040204,Pclaf,2810417H13Rik
ENSMUSG00000058833,Rex1bd,2810428I15Rik
ENSMUSG00000032712,Resf1,2810474O19Rik
ENSMUSG00000044117,Bmerb1,2900011O08Rik
ENSMUSG00000020381,Mrnip,3010026O09Rik
ENSMUSG00000024410,Rmc1,3110002H16Rik
ENSMUSG00000067879,Vxn,3110035E14Rik
ENSMUSG00000028300,C9orf72,3110043O21Rik
ENSMUSG00000035868,Zfp983,3110052M02Rik
ENSMUSG00000046806,Cyren,3110062M04Rik
ENSMUSG00000036242,Armh4,3632451O06Rik
ENSMUSG00000034689,Spertl,4921530L21Rik
ENSMUSG00000020191,Spata48,4930415F15Rik
ENSMUSG00000090336,Cfap97d2,4932443I19Rik
ENSMUSG00000034959,Rubcnl,5031414D18Rik
ENSMUSG00000050549,Fam241a,5730508B09Rik
ENSMUSG00000041605,Inava,5730559C18Rik
ENSMUSG00000070814,Zswim9,6330408A02Rik
ENSMUSG00000045917,Tmem268,6330416G13Rik
ENSMUSG00000039620,Trmt9b,6430573F11Rik
ENSMUSG00000048489,Depp1,8430408G22Rik
ENSMUSG00000030982,Vps35l,9030624J02Rik
ENSMUSG00000039901,Armh3,9130011E15Rik
ENSMUSG00000053070,Cfap300,9230110C19Rik
ENSMUSG00000033960,Jcad,9430020K01Rik
ENSMUSG00000074158,Zfp976,9830147E19Rik
ENSMUSG00000034560,Washc4,A230046K03Rik
ENSMUSG00000045838,Ccdc9b,A430105I19Rik
ENSMUSG00000021482,Prxl2c,Aaed1
ENSMUSG00000003762,Coq8b,Adck4
ENSMUSG00000024858,Grk2,Adrbk1
ENSMUSG00000042249,Grk3,Adrbk2
ENSMUSG00000054452,Tle5,AES
ENSMUSG00000029314,Gpat3,Agpat9
ENSMUSG00000050812,Ecpas,AI314180
ENSMUSG00000024970,Spindoc,AI846148
ENSMUSG00000019866,Crybg1,Aim1
ENSMUSG00000022243,Slc45a2,Aim1
ENSMUSG00000090053,Pakap,Akap2
ENSMUSG00000089945,Pakap,Akap2
ENSMUSG00000038729,Pakap,Akap2
ENSMUSG00000048534,Jaml,Amica1
ENSMUSG00000028070,Naxe,APOA1BP
ENSMUSG00000040250,Ints13,Asun
ENSMUSG00000062031,Pgghg,Athl1
ENSMUSG00000054894,Dmac2l,Atp5s
ENSMUSG00000057229,Dmac2,Atp5sl
ENSMUSG00000059820,Nkapd1,AU019823
ENSMUSG00000006010,Odr4,BC003331
ENSMUSG00000031853,Map3k21,BC021891
ENSMUSG00000037594,Clba1,BC022687
ENSMUSG00000047728,Ly6g2,BC025446
ENSMUSG00000047617,Paxx,BC029214
ENSMUSG00000046096,Mosmo,BC030336
ENSMUSG00000074300,Smim31,BC030870
ENSMUSG00000036948,Trappc14,BC037034
ENSMUSG00000051721,Wdcp,BC068281
ENSMUSG00000074639,Rdh16f2,BC089597
ENSMUSG00000052139,Babam2,Bre
ENSMUSG00000087679,Tmem250-ps,C330006A16Rik
ENSMUSG00000033031,Cip2a,C330027C09Rik
ENSMUSG00000031505,Naxd,Carkd
ENSMUSG00000027326,Knl1,Casc5
ENSMUSG00000027994,Mcub,Ccdc109b
ENSMUSG00000037973,Itprid1,Ccdc129
ENSMUSG00000020056,Washc3,Ccdc53
ENSMUSG00000041609,Bicdl1,Ccdc64
ENSMUSG00000039977,Deup1,Ccdc67
ENSMUSG00000058979,Hdhd5,Cecr5
ENSMUSG00000041438,Utp4,Cirh1a
ENSMUSG00000029034,Ints11,Cpsf3l
ENSMUSG00000027425,Kat14,Csrp2bp
ENSMUSG00000021000,Mia2,Ctage5
ENSMUSG00000019997,Ccn2,Ctgf
ENSMUSG00000028195,Ccn1,Cyr61
ENSMUSG00000053329,Gatd3a,D10Jhu81e
ENSMUSG00000056692,Ilrun,D17Wsu92e
ENSMUSG00000039660,Spout1,D2Wsu81e
ENSMUSG00000097075,Cdiptos,D830044I16Rik
ENSMUSG00000050271,Prag1,D8Ertd82e
ENSMUSG00000033767,Tmem131l,D930015E06Rik
ENSMUSG00000032526,Ss18l2,Deb1
ENSMUSG00000029821,Gsdme,Dfna5
ENSMUSG00000016181,Utp25,Diexf
ENSMUSG00000022848,Slc49a4,Dirc2
ENSMUSG00000034973,Dop1a,Dopey1
ENSMUSG00000022946,Dop1b,Dopey2
ENSMUSG00000022898,Vps26c,Dscr3
ENSMUSG00000092192,Dnaaf4,Dyx1c1
ENSMUSG00000043439,Epop,E130012A19Rik
ENSMUSG00000022350,Washc5,E430025E21Rik
ENSMUSG00000025377,Tepsin,Enthd2
ENSMUSG00000075703,Selenoi,Ept1
ENSMUSG00000021709,Erbin,Erbb2ip
ENSMUSG00000038646,Ramac,Fam103a1
ENSMUSG00000056069,Otulinl,Fam105a
ENSMUSG00000044134,Pheta1,Fam109a
ENSMUSG00000023571,C1qtnf12,Fam132a
ENSMUSG00000049339,Retreg2,Fam134a
ENSMUSG00000022270,Retreg1,Fam134b
ENSMUSG00000017802,Retreg3,Fam134c
ENSMUSG00000039065,Atpsckmt,Fam173b
ENSMUSG00000035234,Abraxas1,Fam175a
ENSMUSG00000030965,Abraxas2,Fam175b
ENSMUSG00000036097,Slf2,Fam178a
ENSMUSG00000035614,Togaram1,Fam179b
ENSMUSG00000026767,Mindy3,Fam188a
ENSMUSG00000038022,Mindy4,Fam188b
ENSMUSG00000025732,Mcrip2,Fam195a
ENSMUSG00000061111,Mcrip1,Fam195b
ENSMUSG00000073805,Insyn2a,Fam196a
ENSMUSG00000069911,Insyn2b,Fam196b
ENSMUSG00000027955,Gask1b,Fam198b
ENSMUSG00000059187,Tafa1,Fam19a1
ENSMUSG00000044071,Tafa2,Fam19a2
ENSMUSG00000046500,Tafa4,Fam19a4
ENSMUSG00000054863,Tafa5,Fam19a5
ENSMUSG00000038827,Abitram,Fam206a
ENSMUSG00000040651,Tasor,Fam208a
ENSMUSG00000033799,Tasor2,Fam208b
ENSMUSG00000024104,Washc2,Fam21
ENSMUSG00000021792,Prxl2a,Fam213a
ENSMUSG00000029059,Prxl2b,Fam213b
ENSMUSG00000049872,Calhm5,Fam26e
ENSMUSG00000046031,Calhm6,Fam26f
ENSMUSG00000041471,Shld2,Fam35a
ENSMUSG00000032265,Tent5a,Fam46a
ENSMUSG00000044468,Tent5c,Fam46c
ENSMUSG00000039985,Sinhcaf,Fam60a
ENSMUSG00000038712,Mindy1,Fam63a
ENSMUSG00000042444,Mindy2,Fam63b
ENSMUSG00000020808,Pimreg,Fam64a
ENSMUSG00000038604,Ripor1,Fam65a
ENSMUSG00000036006,Ripor2,Fam65b
ENSMUSG00000029270,Dipk1a,Fam69a
ENSMUSG00000036186,Dipk1b,Fam69b
ENSMUSG00000054942,Miga1,Fam73a
ENSMUSG00000026858,Miga2,Fam73b
ENSMUSG00000058594,Fbh1,Fbxo18
ENSMUSG00000079677,Fdx2,Fdx1l
ENSMUSG00000033703,Fcsk,Fuk
ENSMUSG00000042680,Garem1,Garem
ENSMUSG00000015944,Castor2,Gatsl2
ENSMUSG00000029432,Nipsnap2,Gbas
ENSMUSG00000041638,Gcn1,Gcn1l1
ENSMUSG00000070808,Bicra,Gltscr1
ENSMUSG00000036568,Bicral,Gltscr1l
ENSMUSG00000041560,Nop53,Gltscr2
ENSMUSG00000070605,Zfp992,Gm13251
ENSMUSG00000042744,Hectd4,Gm15800
ENSMUSG00000091476,Catspere2,Gm16432
ENSMUSG00000060268,Armh1,Gm1661
ENSMUSG00000090290,Tarbp1,Gm17296
ENSMUSG00000070354,Evi2,Gm21975
ENSMUSG00000096433,Zfp994,Gm4944
ENSMUSG00000069727,Zfp975,Gm5595
ENSMUSG00000073608,Gal3st2c,Gm6086
ENSMUSG00000079559,Pou2af3,Gm684
ENSMUSG00000074634,Tmem267,Gm7120
ENSMUSG00000023120,Ldc1,Gm853
ENSMUSG00000091528,Vmn2r-ps158,Gm9268
ENSMUSG00000033910,Gucy1a1,Gucy1a3
ENSMUSG00000028005,Gucy1b1,Gucy1b3
ENSMUSG00000040434,Large2,Gyltl1b
ENSMUSG00000002833,Hdgfl2,Hdgfrp2
ENSMUSG00000025104,Hdgfl3,Hdgfrp3
ENSMUSG00000035697,Arhgap45,Hmha1
ENSMUSG00000020737,Jpt1,Hn1
ENSMUSG00000024165,Jpt2,Hn1l
ENSMUSG00000028431,Elp1,Ikbkap
ENSMUSG00000061859,Patj,Inadl
ENSMUSG00000043153,Crppa,Ispd
ENSMUSG00000102018,Iqank1,K230010J24Rik
ENSMUSG00000026047,Poglut2,Kdelc1
ENSMUSG00000062797,Hikeshi,l7Rn6
ENSMUSG00000038302,Afg1l,Lace1
ENSMUSG00000022025,Cnmd,Lect1
ENSMUSG00000009207,Lnpk,Lnp
ENSMUSG00000021338,Carmil1,Lrrc16a
ENSMUSG00000040370,Etfrf1,Lyrm5
ENSMUSG00000032344,Cgas,Mb21d1
ENSMUSG00000038503,Mesd,Mesdc2
ENSMUSG00000039958,Etfbkmt,Mettl20
ENSMUSG00000066595,Flvcr1,Mfsd7b
ENSMUSG00000034258,Flvcr2,Mfsd7c
ENSMUSG00000025220,Oga,Mgea5
ENSMUSG00000022724,Riox2,Mina
ENSMUSG00000050608,Micos10,Minos1
ENSMUSG00000042292,Mrtfa,Mkl1
ENSMUSG00000009569,Mrtfb,Mkl2
ENSMUSG00000068036,Afdn,Mllt4
ENSMUSG00000024905,Tesmin,Mtl5
ENSMUSG00000033763,Mtss2,Mtss1l
ENSMUSG00000020156,Pwwp3a,Mum1
ENSMUSG00000023921,Mmut,Mut
ENSMUSG00000073616,Cops9,Myeov2
ENSMUSG00000002280,Ciao3,Narfl
ENSMUSG00000079334,Naa80,Nat6
ENSMUSG00000070520,Nsmce3,Ndnl2
ENSMUSG00000063480,Snu13,Nhp2l1
ENSMUSG00000031072,LTO1,Oraov1
ENSMUSG00000090053,Pakap,Palm2
ENSMUSG00000089945,Pakap,Palm2
ENSMUSG00000038729,Pakap,Palm2
ENSMUSG00000042167,Tent2,Papd4
ENSMUSG00000036779,Tent4b,Papd5
ENSMUSG00000034575,Tent4a,Papd7
ENSMUSG00000023826,Prkn,Park2
ENSMUSG00000051007,Gatd1,Pddc1
ENSMUSG00000025209,Twnk,Peo1
ENSMUSG00000060675,Plaat3,Pla2g16
ENSMUSG00000030753,Thap12,Prkrir
ENSMUSG00000031485,Plpbp,Prosc
ENSMUSG00000015711,Prune1,Prune
ENSMUSG00000022704,Qtrt2,Qtrtd1
ENSMUSG00000040782,Cop1,Rfwd2
ENSMUSG00000038046,Mrm3,Rnmtl1
ENSMUSG00000027502,Rtf2,Rtfdc1
ENSMUSG00000026927,Entr1,Sdccag3
ENSMUSG00000045954,Cavin2,Sdpr
ENSMUSG00000042682,Selenok,Selk
ENSMUSG00000075702,Selenom,SelM
ENSMUSG00000035757,Selenoo,Selo
ENSMUSG00000075700,Selenot,SelT
ENSMUSG00000037072,Selenof,Sep15
ENSMUSG00000064373,Selenop,Sepp1
ENSMUSG00000041571,Selenow,Sepw1
ENSMUSG00000042541,Sem1,Shfm1
ENSMUSG00000016018,Mtrex,Skiv2l2
ENSMUSG00000024530,Prelid3a,Slmo1
ENSMUSG00000041846,Ppp4r3a,Smek1
ENSMUSG00000020463,Ppp4r3b,Smek2
ENSMUSG00000005803,Sqor,Sqrdl
ENSMUSG00000027007,Itprid2,Ssfa2
ENSMUSG00000025144,Cenpx,Stra13
ENSMUSG00000030103,Bhlhe40,Stra13
ENSMUSG00000045098,Kmt5b,Suv420h1
ENSMUSG00000059851,Kmt5c,Suv420h2
ENSMUSG00000079658,Eloc,Tceb1
ENSMUSG00000055839,Elob,Tceb2
ENSMUSG00000028668,Eloa,Tceb3
ENSMUSG00000034105,Meak7,Tldc1
ENSMUSG00000006526,Stimate,Tmem110
ENSMUSG00000025227,Mfsd13a,Tmem180
ENSMUSG00000043015,Nemp2,Tmem194b
ENSMUSG00000024754,Cemip2,Tmem2
ENSMUSG00000026627,Pacc1,Tmem206
ENSMUSG00000028398,Dmac1,Tmem261
ENSMUSG00000034620,Rxylt1,Tmem5
ENSMUSG00000028221,Pip4p2,Tmem55a
ENSMUSG00000035953,Pip4p1,Tmem55b
ENSMUSG00000028826,Maco1,Tmem57
ENSMUSG00000028407,Smim27,Toporsos
ENSMUSG00000036613,Eipr1,Tssc1
ENSMUSG00000005262,Ufd1,Ufd1l
ENSMUSG00000071528,Atp5md,Usmg5
ENSMUSG00000028907,Utp11,Utp11l
ENSMUSG00000075701,Selenos,Vimp
ENSMUSG00000040325,Dcaf1,Vprbp
ENSMUSG00000034263,Ints14,Vwa9
ENSMUSG00000024101,Washc1,Wash1
ENSMUSG00000061979,Rcc1l,Wbscr16
ENSMUSG00000034040,Galnt17,Wbscr17
ENSMUSG00000040557,Mettl27,Wbscr27
ENSMUSG00000057406,Nsd2,Whsc1
ENSMUSG00000054823,Nsd3,Whsc1l1
ENSMUSG00000005124,Ccn4,Wisp1
ENSMUSG00000025436,Atp23,Xrcc6bp1
ENSMUSG00000004085,Map3k20,Zak
ENSMUSG00000034610,Tut4,Zcchc11
ENSMUSG00000035248,Tut7,Zcchc6
ENSMUSG00000020420,Zfp607a,Zfp607
ENSMUSG00000039531,Zup1,Zufsp
ENSMUSG00000054452,Tle5,Aes
ENSMUSG00000028070,Naxe,Apoa1bp
ENSMUSG00000075702,Selenom,Selm
ENSMUSG00000075700,Selenot,Selt
ENSMUSG00000029089,5730480H06Rik,Pacrgl
ENSMUSG00000070737,Tmem35b,Gm12942
ENSMUSG00000004383,Large1,Large
ENSMUSG00000089809,Rasgef1b,A930011G23Rik
ENSMUSG00000079471,Mymx,Gm7325
ENSMUSG00000114923,,Gm49345
